latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.26736,99.31687,327.24,0.53,0.5,2023-02-12,06:16,N,nominal,2.0NRT,287.07,4.04,D
8.16393,99.42039,337.27,0.52,0.5,2023-02-12,06:16,N,nominal,2.0NRT,290.14,6.19,D
11.3331,99.55782,342.28,0.45,0.47,2023-02-12,06:16,N,nominal,2.0NRT,301.74,3.53,D
11.32878,99.55856,339.37,0.45,0.47,2023-02-12,06:16,N,nominal,2.0NRT,299.85,0.74,D
8.95196,99.38578,333.03,0.51,0.49,2023-02-12,06:16,N,nominal,2.0NRT,293.01,3.93,D
17.04644,99.35807,335.85,0.57,0.43,2023-02-12,06:18,N,low,2.0NRT,308.42,6.02,D
17.04455,99.34771,342.46,0.57,0.43,2023-02-12,06:18,N,nominal,2.0NRT,311.45,13.03,D
16.98477,98.97641,355.18,0.4,0.44,2023-02-12,06:18,N,nominal,2.0NRT,312.72,9.48,D
17.06106,99.37103,337,0.57,0.43,2023-02-12,06:18,N,low,2.0NRT,311.14,37.79,D
17.04106,99.19299,357.3,0.39,0.44,2023-02-12,06:18,N,nominal,2.0NRT,322.17,18.44,D
17.03712,99.17131,343.22,0.39,0.44,2023-02-12,06:18,N,nominal,2.0NRT,313.29,7.1,D
17.03647,99.16771,343.85,0.39,0.44,2023-02-12,06:18,N,nominal,2.0NRT,314.79,7.1,D
17.04507,99.19227,367,0.39,0.44,2023-02-12,06:18,N,high,2.0NRT,312.89,10.66,D
17.04114,99.17063,343.57,0.39,0.44,2023-02-12,06:18,N,low,2.0NRT,316.34,8.07,D
17.04049,99.16702,345.52,0.39,0.44,2023-02-12,06:18,N,nominal,2.0NRT,315.78,8.07,D
16.27621,95.20355,345.15,0.36,0.57,2023-02-12,06:18,N,nominal,2.0NRT,302.82,2.76,D
16.74747,97.5687,339.04,0.49,0.49,2023-02-12,06:18,N,nominal,2.0NRT,304.79,2.49,D
17.09427,99.41927,346.45,0.56,0.43,2023-02-12,06:18,N,nominal,2.0NRT,314.18,6.57,D
16.82536,97.95634,341.44,0.46,0.47,2023-02-12,06:18,N,nominal,2.0NRT,307.22,9.69,D
17.02063,98.9428,340.16,0.4,0.44,2023-02-12,06:18,N,nominal,2.0NRT,309.44,4.52,D
17.02868,98.94085,345.46,0.4,0.44,2023-02-12,06:18,N,nominal,2.0NRT,311.7,7.04,D
17.03759,98.94364,342.6,0.4,0.44,2023-02-12,06:18,N,nominal,2.0NRT,311.58,6.13,D
17.03692,98.93992,343.23,0.4,0.44,2023-02-12,06:18,N,nominal,2.0NRT,312.72,6.13,D
16.94776,98.44939,342.77,0.43,0.46,2023-02-12,06:18,N,low,2.0NRT,314.27,6.74,D
16.94704,98.44543,357.79,0.43,0.46,2023-02-12,06:18,N,nominal,2.0NRT,317.44,27.86,D
17.04165,98.94289,352.59,0.4,0.44,2023-02-12,06:18,N,nominal,2.0NRT,311.01,8.46,D
16.95123,98.44461,336.87,0.43,0.46,2023-02-12,06:18,N,low,2.0NRT,309.75,5.37,D
